Zeit (TT-MM hh:mm),Wärme gesamt (kW),Kälte gesamt (kW),Strom gesamt (kW),Zone 1-Raumwärme (kW),Zone 1-Trinkwarmwasser (kW),Zone 1-Klimatisierung (kW),Zone 1-Prozesskälte (kW),Zone 1-Nutzerstrom (kW),Zone 1-Elektromobilität (kW)
06-06 00:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
06-06 01:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
06-06 02:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
06-06 03:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
06-06 04:00,0.1,0.0,0.0,0.0,0.10000000149011612,0,0,0,0
06-06 05:00,0.7,0.0,0.0,0.0,0.699999988079071,0,0,0,0
06-06 06:00,2.2,0.0,0.0,0.0,2.200000047683716,0,0,0,0
06-06 07:00,4.7,0.0,0.0,0.0,4.699999809265137,0,0,0,0
06-06 08:00,8.8,0.0,0.0,0.0,8.800000190734863,0,0,0,0
06-06 09:00,12.7,0.0,0.0,0.0,12.699999809265137,0,0,0,0
06-06 10:00,13.1,0.0,0.0,0.0,13.100000381469727,0,0,0,0
06-06 11:00,13.5,0.0,0.0,0.0,13.5,0,0,0,0
06-06 12:00,12.7,0.0,0.0,0.0,12.699999809265137,0,0,0,0
06-06 13:00,13.3,0.0,0.0,0.0,13.300000190734863,0,0,0,0
06-06 14:00,9.3,0.0,0.0,0.0,9.300000190734863,0,0,0,0
06-06 15:00,7.9,0.0,0.0,0.0,7.900000095367432,0,0,0,0
06-06 16:00,5.9,0.0,0.0,0.0,5.900000095367432,0,0,0,0
06-06 17:00,1.7,0.0,0.0,0.0,1.7000000476837158,0,0,0,0
06-06 18:00,0.7,0.0,0.0,0.0,0.699999988079071,0,0,0,0
06-06 19:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
06-06 20:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
06-06 21:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
