Zeit (TT-MM hh:mm),Wärme gesamt (kW),Kälte gesamt (kW),Strom gesamt (kW),Zone 1-Raumwärme (kW),Zone 1-Trinkwarmwasser (kW),Zone 1-Klimatisierung (kW),Zone 1-Prozesskälte (kW),Zone 1-Nutzerstrom (kW),Zone 1-Elektromobilität (kW)
04-01 02:00,179.2,0.0,0.0,179.1999969482422,0.0,0,0,0,0
04-01 03:00,170.5,0.0,0.0,170.5,0.0,0,0,0,0
04-01 04:00,177.7,0.0,0.0,177.6999969482422,0.0,0,0,0,0
04-01 05:00,204.3,0.0,0.0,204.3000030517578,0.0,0,0,0,0
04-01 06:00,239.6,0.0,0.0,239.60000610351562,0.0,0,0,0,0
04-01 07:00,402.7,0.0,0.0,402.70001220703125,0.0,0,0,0,0
04-01 08:00,388.0,0.0,0.0,387.29998779296875,0.699999988079071,0,0,0,0
04-01 09:00,312.6,0.0,0.0,310.70001220703125,1.7999999523162842,0,0,0,0
04-01 10:00,310.4,0.0,0.0,304.6000061035156,5.800000190734863,0,0,0,0
04-01 11:00,306.1,0.0,0.0,297.29998779296875,8.800000190734863,0,0,0,0
04-01 12:00,307.2,0.0,0.0,295.70001220703125,11.5,0,0,0,0
04-01 13:00,299.6,0.0,0.0,287.70001220703125,11.899999618530273,0,0,0,0
04-01 14:00,299.1,0.0,0.0,286.8999938964844,12.199999809265137,0,0,0,0
04-01 15:00,302.4,0.0,0.0,289.3999938964844,12.899999618530273,0,0,0,0
04-01 16:00,325.9,0.0,0.0,312.20001220703125,13.699999809265137,0,0,0,0
04-01 17:00,302.8,0.0,0.0,291.6000061035156,11.199999809265137,0,0,0,0
04-01 18:00,285.2,0.0,0.0,277.5,7.699999809265137,0,0,0,0
04-01 19:00,260.6,0.0,0.0,259.29998779296875,1.2999999523162842,0,0,0,0
04-01 20:00,239.6,0.0,0.0,239.60000610351562,0.0,0,0,0,0
04-01 21:00,180.6,0.0,0.0,180.60000610351562,0.0,0,0,0,0
04-01 22:00,107.5,0.0,0.0,107.5,0.0,0,0,0,0
04-01 23:00,112.3,0.0,0.0,112.4000015258789,0.0,0,0,0,0
05-01 00:00,106.0,0.0,0.0,106.0,0.0,0,0,0,0
05-01 01:00,109.2,0.0,0.0,109.19999694824219,0.0,0,0,0,0
05-01 02:00,100.6,0.0,0.0,100.5999984741211,0.0,0,0,0,0
05-01 03:00,96.7,0.0,0.0,96.69999694824219,0.0,0,0,0,0
05-01 04:00,99.6,0.0,0.0,99.5999984741211,0.0,0,0,0,0
05-01 05:00,120.6,0.0,0.0,120.5999984741211,0.0,0,0,0,0
05-01 06:00,143.4,0.0,0.0,143.39999389648438,0.0,0,0,0,0
05-01 07:00,248.8,0.0,0.0,248.8000030517578,0.0,0,0,0,0
05-01 08:00,228.5,0.0,0.0,227.89999389648438,0.6000000238418579,0,0,0,0
05-01 09:00,205.6,0.0,0.0,203.60000610351562,2.0,0,0,0,0
05-01 10:00,219.6,0.0,0.0,213.1999969482422,6.400000095367432,0,0,0,0
05-01 11:00,213.0,0.0,0.0,203.6999969482422,9.300000190734863,0,0,0,0
05-01 12:00,175.8,0.0,0.0,165.39999389648438,10.399999618530273,0,0,0,0
05-01 13:00,180.8,0.0,0.0,169.5,11.300000190734863,0,0,0,0
05-01 14:00,198.0,0.0,0.0,185.60000610351562,12.399999618530273,0,0,0,0
05-01 15:00,201.0,0.0,0.0,188.5,12.5,0,0,0,0
05-01 16:00,217.3,0.0,0.0,204.5,12.800000190734863,0,0,0,0
05-01 17:00,209.2,0.0,0.0,198.3000030517578,10.899999618530273,0,0,0,0
05-01 18:00,221.2,0.0,0.0,213.0,8.199999809265137,0,0,0,0
05-01 19:00,220.7,0.0,0.0,219.1999969482422,1.5,0,0,0,0
05-01 20:00,190.0,0.0,0.0,190.0,0.0,0,0,0,0
05-01 21:00,160.3,0.0,0.0,160.3000030517578,0.0,0,0,0,0
05-01 22:00,105.2,0.0,0.0,105.19999694824219,0.0,0,0,0,0
05-01 23:00,122.8,0.0,0.0,122.80000305175781,0.0,0,0,0,0
06-01 00:00,128.5,0.0,0.0,128.5,0.0,0,0,0,0
06-01 01:00,137.6,0.0,0.0,137.60000610351562,0.0,0,0,0,0
06-01 02:00,126.9,0.0,0.0,126.9000015258789,0.0,0,0,0,0
06-01 03:00,131.9,0.0,0.0,131.8000030517578,0.0,0,0,0,0
06-01 04:00,156.3,0.0,0.0,156.3000030517578,0.0,0,0,0,0
06-01 05:00,178.8,0.0,0.0,178.8000030517578,0.0,0,0,0,0
06-01 06:00,223.9,0.0,0.0,223.89999389648438,0.0,0,0,0,0
06-01 07:00,342.9,0.0,0.0,342.8999938964844,0.0,0,0,0,0
06-01 08:00,361.0,0.0,0.0,360.29998779296875,0.699999988079071,0,0,0,0
06-01 09:00,345.1,0.0,0.0,342.8999938964844,2.200000047683716,0,0,0,0
06-01 10:00,319.8,0.0,0.0,313.0,6.800000190734863,0,0,0,0
06-01 11:00,307.9,0.0,0.0,296.0,11.899999618530273,0,0,0,0
06-01 12:00,284.1,0.0,0.0,268.29998779296875,15.800000190734863,0,0,0,0
06-01 13:00,289.3,0.0,0.0,269.20001220703125,20.100000381469727,0,0,0,0
06-01 14:00,311.4,0.0,0.0,288.29998779296875,23.100000381469727,0,0,0,0
06-01 15:00,311.1,0.0,0.0,288.0,23.100000381469727,0,0,0,0
06-01 16:00,300.3,0.0,0.0,278.3999938964844,21.899999618530273,0,0,0,0
06-01 17:00,324.2,0.0,0.0,304.8999938964844,19.299999237060547,0,0,0,0
06-01 18:00,309.9,0.0,0.0,299.29998779296875,10.600000381469727,0,0,0,0
06-01 19:00,285.9,0.0,0.0,280.5,5.400000095367432,0,0,0,0
06-01 20:00,263.5,0.0,0.0,261.3999938964844,2.0999999046325684,0,0,0,0
06-01 21:00,203.8,0.0,0.0,203.1999969482422,0.699999988079071,0,0,0,0
06-01 22:00,120.9,0.0,0.0,120.9000015258789,0.0,0,0,0,0
06-01 23:00,149.6,0.0,0.0,149.60000610351562,0.0,0,0,0,0
07-01 00:00,126.2,0.0,0.0,126.19999694824219,0.0,0,0,0,0
07-01 01:00,149.8,0.0,0.0,149.8000030517578,0.0,0,0,0,0
07-01 02:00,143.9,0.0,0.0,143.89999389648438,0.0,0,0,0,0
07-01 03:00,146.9,0.0,0.0,146.8000030517578,0.0,0,0,0,0
07-01 04:00,152.1,0.0,0.0,152.10000610351562,0.0,0,0,0,0
07-01 05:00,153.5,0.0,0.0,153.5,0.0,0,0,0,0
07-01 06:00,184.2,0.0,0.0,184.1999969482422,0.0,0,0,0,0
07-01 07:00,222.1,0.0,0.0,222.0,0.0,0,0,0,0
07-01 08:00,242.2,0.0,0.0,242.1999969482422,0.0,0,0,0,0
07-01 09:00,202.4,0.0,0.0,202.1999969482422,0.20000000298023224,0,0,0,0
07-01 10:00,189.1,0.0,0.0,188.6999969482422,0.4000000059604645,0,0,0,0
07-01 11:00,188.0,0.0,0.0,187.3000030517578,0.699999988079071,0,0,0,0
07-01 12:00,182.2,0.0,0.0,180.8000030517578,1.399999976158142,0,0,0,0
07-01 13:00,170.9,0.0,0.0,169.1999969482422,1.7000000476837158,0,0,0,0
07-01 14:00,135.6,0.0,0.0,134.1999969482422,1.399999976158142,0,0,0,0
07-01 15:00,171.7,0.0,0.0,170.0,1.7000000476837158,0,0,0,0
07-01 16:00,167.4,0.0,0.0,165.8000030517578,1.600000023841858,0,0,0,0
07-01 17:00,170.5,0.0,0.0,169.10000610351562,1.399999976158142,0,0,0,0
07-01 18:00,170.5,0.0,0.0,170.0,0.5,0,0,0,0
07-01 19:00,169.4,0.0,0.0,169.1999969482422,0.20000000298023224,0,0,0,0
07-01 20:00,147.2,0.0,0.0,147.1999969482422,0.0,0,0,0,0
07-01 21:00,121.3,0.0,0.0,121.30000305175781,0.0,0,0,0,0
