Zeit (TT-MM hh:mm),Wärme gesamt (kW),Kälte gesamt (kW),Strom gesamt (kW),Zone 1-Raumwärme (kW),Zone 1-Trinkwarmwasser (kW),Zone 1-Klimatisierung (kW),Zone 1-Prozesskälte (kW),Zone 1-Nutzerstrom (kW),Zone 1-Elektromobilität (kW)
24-05 05:00,69.2,0.0,0.0,68.30000305175781,0.8999999761581421,0,0,0,0
24-05 06:00,55.0,0.0,0.0,53.900001525878906,1.100000023841858,0,0,0,0
24-05 07:00,34.5,0.0,0.0,32.0,2.5,0,0,0,0
24-05 08:00,21.7,0.0,0.0,17.399999618530273,4.300000190734863,0,0,0,0
24-05 09:00,24.3,0.0,0.0,17.700000762939453,6.599999904632568,0,0,0,0
24-05 10:00,26.0,0.0,0.0,18.0,8.0,0,0,0,0
24-05 11:00,24.2,0.0,0.0,16.5,7.699999809265137,0,0,0,0
24-05 12:00,21.7,0.0,0.0,15.199999809265137,6.5,0,0,0,0
24-05 13:00,23.1,0.0,0.0,16.399999618530273,6.699999809265137,0,0,0,0
24-05 14:00,21.2,0.0,0.0,15.300000190734863,5.900000095367432,0,0,0,0
24-05 15:00,21.6,0.0,0.0,15.899999618530273,5.699999809265137,0,0,0,0
24-05 16:00,19.5,0.0,0.0,15.5,4.0,0,0,0,0
24-05 17:00,17.2,0.0,0.0,14.399999618530273,2.799999952316284,0,0,0,0
24-05 18:00,16.4,0.0,0.0,14.399999618530273,2.0,0,0,0,0
24-05 19:00,16.4,0.0,0.0,14.800000190734863,1.600000023841858,0,0,0,0
24-05 20:00,15.6,0.0,0.0,14.399999618530273,1.2000000476837158,0,0,0,0
24-05 21:00,14.5,0.0,0.0,13.699999809265137,0.800000011920929,0,0,0,0
24-05 22:00,14.7,0.0,0.0,13.800000190734863,0.800000011920929,0,0,0,0
24-05 23:00,14.7,0.0,0.0,13.800000190734863,0.800000011920929,0,0,0,0
25-05 00:00,17.8,0.0,0.0,16.899999618530273,0.800000011920929,0,0,0,0
25-05 01:00,30.8,0.0,0.0,30.0,0.800000011920929,0,0,0,0
25-05 02:00,45.3,0.0,0.0,44.5,0.800000011920929,0,0,0,0
25-05 03:00,48.9,0.0,0.0,48.0,0.8999999761581421,0,0,0,0
25-05 04:00,56.1,0.0,0.0,55.20000076293945,0.8999999761581421,0,0,0,0
25-05 05:00,50.0,0.0,0.0,49.099998474121094,0.8999999761581421,0,0,0,0
25-05 06:00,35.2,0.0,0.0,34.099998474121094,1.100000023841858,0,0,0,0
25-05 07:00,31.6,0.0,0.0,28.899999618530273,2.700000047683716,0,0,0,0
25-05 08:00,16.5,0.0,0.0,12.199999809265137,4.300000190734863,0,0,0,0
