Zeit (TT-MM hh:mm),Wärme gesamt (kW),Kälte gesamt (kW),Strom gesamt (kW),Zone 1-Raumwärme (kW),Zone 1-Trinkwarmwasser (kW),Zone 1-Klimatisierung (kW),Zone 1-Prozesskälte (kW),Zone 1-Nutzerstrom (kW),Zone 1-Elektromobilität (kW)
25-02 18:00,17.4,0.0,0.0,17.399999618530273,0.0,0,0,0,0
25-02 19:00,30.8,0.0,0.0,30.799999237060547,0.0,0,0,0,0
25-02 20:00,31.1,0.0,0.0,31.100000381469727,0.0,0,0,0,0
25-02 21:00,53.2,0.0,0.0,53.20000076293945,0.0,0,0,0,0
25-02 22:00,70.8,0.0,0.0,70.80000305175781,0.0,0,0,0,0
25-02 23:00,87.7,0.0,0.0,87.69999694824219,0.0,0,0,0,0
26-02 00:00,100.8,0.0,0.0,100.80000305175781,0.0,0,0,0,0
26-02 01:00,104.9,0.0,0.0,104.9000015258789,0.0,0,0,0,0
26-02 02:00,113.6,0.0,0.0,113.5999984741211,0.0,0,0,0,0
26-02 03:00,91.2,0.0,0.0,91.19999694824219,0.0,0,0,0,0
26-02 04:00,88.0,0.0,0.0,87.9000015258789,0.10000000149011612,0,0,0,0
26-02 05:00,111.2,0.0,0.0,110.5999984741211,0.6000000238418579,0,0,0,0
26-02 06:00,133.7,0.0,0.0,131.60000610351562,2.0999999046325684,0,0,0,0
26-02 07:00,194.1,0.0,0.0,189.89999389648438,4.199999809265137,0,0,0,0
26-02 08:00,220.6,0.0,0.0,213.1999969482422,7.400000095367432,0,0,0,0
26-02 09:00,202.1,0.0,0.0,191.5,10.600000381469727,0,0,0,0
26-02 10:00,184.7,0.0,0.0,172.8000030517578,11.899999618530273,0,0,0,0
26-02 11:00,159.0,0.0,0.0,147.60000610351562,11.399999618530273,0,0,0,0
26-02 12:00,157.4,0.0,0.0,146.3000030517578,11.100000381469727,0,0,0,0
26-02 13:00,149.5,0.0,0.0,138.89999389648438,10.600000381469727,0,0,0,0
26-02 14:00,144.9,0.0,0.0,136.8000030517578,8.100000381469727,0,0,0,0
26-02 15:00,138.6,0.0,0.0,133.5,5.099999904632568,0,0,0,0
26-02 16:00,129.2,0.0,0.0,127.5999984741211,1.600000023841858,0,0,0,0
26-02 17:00,103.9,0.0,0.0,103.4000015258789,0.6000000238418579,0,0,0,0
26-02 18:00,116.2,0.0,0.0,116.19999694824219,0.0,0,0,0,0
26-02 19:00,110.8,0.0,0.0,110.80000305175781,0.0,0,0,0,0
26-02 20:00,94.2,0.0,0.0,94.19999694824219,0.0,0,0,0,0
26-02 21:00,81.2,0.0,0.0,81.19999694824219,0.0,0,0,0,0
26-02 22:00,104.9,0.0,0.0,104.9000015258789,0.0,0,0,0,0
26-02 23:00,113.6,0.0,0.0,113.5999984741211,0.0,0,0,0,0
27-02 00:00,141.5,0.0,0.0,141.5,0.0,0,0,0,0
27-02 01:00,141.0,0.0,0.0,141.0,0.0,0,0,0,0
27-02 02:00,138.2,0.0,0.0,138.1999969482422,0.0,0,0,0,0
27-02 03:00,144.8,0.0,0.0,144.8000030517578,0.0,0,0,0,0
27-02 04:00,153.2,0.0,0.0,153.10000610351562,0.10000000149011612,0,0,0,0
27-02 05:00,191.0,0.0,0.0,190.39999389648438,0.6000000238418579,0,0,0,0
27-02 06:00,246.7,0.0,0.0,244.5,2.200000047683716,0,0,0,0
