Zeit (TT-MM hh:mm),Wärme gesamt (kW),Kälte gesamt (kW),Strom gesamt (kW),Zone 1-Raumwärme (kW),Zone 1-Trinkwarmwasser (kW),Zone 1-Klimatisierung (kW),Zone 1-Prozesskälte (kW),Zone 1-Nutzerstrom (kW),Zone 1-Elektromobilität (kW)
04-11 22:00,73.5,0.0,0.0,68.9000015258789,4.599999904632568,0,0,0,0
04-11 23:00,66.3,0.0,0.0,61.900001525878906,4.400000095367432,0,0,0,0
05-11 00:00,70.8,0.0,0.0,66.0,4.800000190734863,0,0,0,0
05-11 01:00,73.3,0.0,0.0,68.69999694824219,4.599999904632568,0,0,0,0
05-11 02:00,68.1,0.0,0.0,65.5999984741211,2.5,0,0,0,0
05-11 03:00,76.8,0.0,0.0,74.30000305175781,2.5,0,0,0,0
05-11 04:00,96.0,0.0,0.0,91.5999984741211,4.400000095367432,0,0,0,0
05-11 05:00,130.6,0.0,0.0,118.30000305175781,12.300000190734863,0,0,0,0
05-11 06:00,209.8,0.0,0.0,173.3000030517578,36.5,0,0,0,0
05-11 07:00,200.6,0.0,0.0,164.39999389648438,36.20000076293945,0,0,0,0
05-11 08:00,181.1,0.0,0.0,146.6999969482422,34.400001525878906,0,0,0,0
05-11 09:00,156.0,0.0,0.0,124.9000015258789,31.200000762939453,0,0,0,0
05-11 10:00,144.4,0.0,0.0,119.0,25.399999618530273,0,0,0,0
05-11 11:00,123.2,0.0,0.0,100.9000015258789,22.299999237060547,0,0,0,0
05-11 12:00,118.0,0.0,0.0,97.9000015258789,20.100000381469727,0,0,0,0
05-11 13:00,110.5,0.0,0.0,91.0,19.600000381469727,0,0,0,0
05-11 14:00,117.1,0.0,0.0,97.0,20.100000381469727,0,0,0,0
05-11 15:00,115.8,0.0,0.0,97.9000015258789,17.899999618530273,0,0,0,0
05-11 16:00,120.4,0.0,0.0,103.0,17.5,0,0,0,0
05-11 17:00,126.8,0.0,0.0,111.4000015258789,15.399999618530273,0,0,0,0
05-11 18:00,138.1,0.0,0.0,123.4000015258789,14.699999809265137,0,0,0,0
05-11 19:00,139.9,0.0,0.0,126.5999984741211,13.199999809265137,0,0,0,0
05-11 20:00,138.2,0.0,0.0,127.19999694824219,11.0,0,0,0,0
05-11 21:00,138.2,0.0,0.0,129.8000030517578,8.399999618530273,0,0,0,0
05-11 22:00,75.1,0.0,0.0,69.30000305175781,5.800000190734863,0,0,0,0
05-11 23:00,64.8,0.0,0.0,59.79999923706055,5.0,0,0,0,0
06-11 00:00,64.5,0.0,0.0,59.599998474121094,4.900000095367432,0,0,0,0
06-11 01:00,65.4,0.0,0.0,60.79999923706055,4.599999904632568,0,0,0,0
06-11 02:00,66.3,0.0,0.0,63.599998474121094,2.700000047683716,0,0,0,0
06-11 03:00,67.0,0.0,0.0,64.5999984741211,2.4000000953674316,0,0,0,0
06-11 04:00,81.5,0.0,0.0,77.0,4.5,0,0,0,0
06-11 05:00,123.9,0.0,0.0,111.19999694824219,12.699999809265137,0,0,0,0
06-11 06:00,181.5,0.0,0.0,146.39999389648438,35.099998474121094,0,0,0,0
06-11 07:00,192.4,0.0,0.0,152.39999389648438,40.0,0,0,0,0
06-11 08:00,168.8,0.0,0.0,131.60000610351562,37.20000076293945,0,0,0,0
06-11 09:00,145.6,0.0,0.0,112.80000305175781,32.79999923706055,0,0,0,0
06-11 10:00,131.9,0.0,0.0,106.80000305175781,25.100000381469727,0,0,0,0
06-11 11:00,125.5,0.0,0.0,102.0,23.5,0,0,0,0
06-11 12:00,104.2,0.0,0.0,84.69999694824219,19.5,0,0,0,0
06-11 13:00,105.8,0.0,0.0,86.4000015258789,19.399999618530273,0,0,0,0
06-11 14:00,113.4,0.0,0.0,93.19999694824219,20.200000762939453,0,0,0,0
06-11 15:00,112.1,0.0,0.0,94.19999694824219,17.899999618530273,0,0,0,0
06-11 16:00,121.3,0.0,0.0,103.0,18.299999237060547,0,0,0,0
06-11 17:00,134.8,0.0,0.0,118.69999694824219,16.100000381469727,0,0,0,0
06-11 18:00,130.7,0.0,0.0,117.0,13.699999809265137,0,0,0,0
06-11 19:00,141.6,0.0,0.0,128.39999389648438,13.199999809265137,0,0,0,0
06-11 20:00,150.7,0.0,0.0,138.3000030517578,12.399999618530273,0,0,0,0
