Zeit (TT-MM hh:mm),Wärme gesamt (kW),Kälte gesamt (kW),Strom gesamt (kW),Zone 1-Raumwärme (kW),Zone 1-Trinkwarmwasser (kW),Zone 1-Klimatisierung (kW),Zone 1-Prozesskälte (kW),Zone 1-Nutzerstrom (kW),Zone 1-Elektromobilität (kW)
03-09 10:00,76.3,0.0,0.0,12.600000381469727,63.70000076293945,0,0,0,0
03-09 11:00,87.0,0.0,0.0,15.5,71.5,0,0,0,0
03-09 12:00,89.7,0.0,0.0,16.600000381469727,73.0,0,0,0,0
03-09 13:00,79.3,0.0,0.0,14.699999809265137,64.5999984741211,0,0,0,0
03-09 14:00,88.6,0.0,0.0,15.5,73.0,0,0,0,0
03-09 15:00,89.2,0.0,0.0,15.100000381469727,74.0999984741211,0,0,0,0
03-09 16:00,82.0,0.0,0.0,14.600000381469727,67.4000015258789,0,0,0,0
03-09 17:00,70.5,0.0,0.0,14.399999618530273,56.099998474121094,0,0,0,0
03-09 18:00,55.6,0.0,0.0,13.399999618530273,42.20000076293945,0,0,0,0
03-09 19:00,42.5,0.0,0.0,11.899999618530273,30.600000381469727,0,0,0,0
03-09 20:00,33.2,0.0,0.0,11.0,22.200000762939453,0,0,0,0
03-09 21:00,29.8,0.0,0.0,11.100000381469727,18.700000762939453,0,0,0,0
03-09 22:00,28.4,0.0,0.0,16.700000762939453,11.699999809265137,0,0,0,0
03-09 23:00,16.1,0.0,0.0,6.900000095367432,9.199999809265137,0,0,0,0
04-09 00:00,8.4,0.0,0.0,0.20000000298023224,8.199999809265137,0,0,0,0
04-09 01:00,7.7,0.0,0.0,0.30000001192092896,7.400000095367432,0,0,0,0
04-09 02:00,14.1,0.0,0.0,6.199999809265137,7.900000095367432,0,0,0,0
04-09 03:00,15.1,0.0,0.0,6.300000190734863,8.800000190734863,0,0,0,0
04-09 04:00,14.7,0.0,0.0,5.800000190734863,8.899999618530273,0,0,0,0
04-09 05:00,17.8,0.0,0.0,6.199999809265137,11.600000381469727,0,0,0,0
04-09 06:00,26.1,0.0,0.0,6.699999809265137,19.399999618530273,0,0,0,0
04-09 07:00,37.4,0.0,0.0,2.299999952316284,35.099998474121094,0,0,0,0
04-09 08:00,50.2,0.0,0.0,1.600000023841858,48.599998474121094,0,0,0,0
04-09 09:00,62.9,0.0,0.0,1.5,61.400001525878906,0,0,0,0
04-09 10:00,69.4,0.0,0.0,1.600000023841858,67.80000305175781,0,0,0,0
04-09 11:00,74.2,0.0,0.0,1.899999976158142,72.30000305175781,0,0,0,0
04-09 12:00,73.7,0.0,0.0,1.899999976158142,71.80000305175781,0,0,0,0
04-09 13:00,79.5,0.0,0.0,2.0999999046325684,77.4000015258789,0,0,0,0
04-09 14:00,73.6,0.0,0.0,1.7999999523162842,71.80000305175781,0,0,0,0
04-09 15:00,70.5,0.0,0.0,1.7000000476837158,68.80000305175781,0,0,0,0
04-09 16:00,67.9,0.0,0.0,1.7000000476837158,66.19999694824219,0,0,0,0
04-09 17:00,58.5,0.0,0.0,1.7000000476837158,56.79999923706055,0,0,0,0
04-09 18:00,44.3,0.0,0.0,1.600000023841858,42.599998474121094,0,0,0,0
04-09 19:00,34.4,0.0,0.0,1.5,32.900001525878906,0,0,0,0
04-09 20:00,24.6,0.0,0.0,1.399999976158142,23.200000762939453,0,0,0,0
04-09 21:00,20.7,0.0,0.0,1.399999976158142,19.299999237060547,0,0,0,0
04-09 22:00,12.5,0.0,0.0,1.2000000476837158,11.300000190734863,0,0,0,0
04-09 23:00,9.9,0.0,0.0,0.20000000298023224,9.699999809265137,0,0,0,0
05-09 00:00,7.8,0.0,0.0,0.0,7.800000190734863,0,0,0,0
05-09 01:00,8.3,0.0,0.0,0.10000000149011612,8.199999809265137,0,0,0,0
05-09 02:00,7.7,0.0,0.0,0.10000000149011612,7.599999904632568,0,0,0,0
05-09 03:00,8.7,0.0,0.0,0.10000000149011612,8.600000381469727,0,0,0,0
05-09 04:00,9.8,0.0,0.0,0.10000000149011612,9.699999809265137,0,0,0,0
05-09 05:00,12.3,0.0,0.0,0.10000000149011612,12.199999809265137,0,0,0,0
05-09 06:00,19.8,0.0,0.0,0.20000000298023224,19.600000381469727,0,0,0,0
05-09 07:00,32.9,0.0,0.0,0.4000000059604645,32.5,0,0,0,0
05-09 08:00,49.4,0.0,0.0,0.30000001192092896,49.099998474121094,0,0,0,0
05-09 09:00,66.0,0.0,0.0,0.30000001192092896,65.69999694824219,0,0,0,0
05-09 10:00,69.6,0.0,0.0,0.30000001192092896,69.30000305175781,0,0,0,0
05-09 11:00,70.1,0.0,0.0,0.4000000059604645,69.5999984741211,0,0,0,0
05-09 12:00,68.7,0.0,0.0,0.4000000059604645,68.30000305175781,0,0,0,0
05-09 13:00,70.9,0.0,0.0,0.4000000059604645,70.5,0,0,0,0
05-09 14:00,70.1,0.0,0.0,0.4000000059604645,69.80000305175781,0,0,0,0
05-09 15:00,76.1,0.0,0.0,0.4000000059604645,75.69999694824219,0,0,0,0
05-09 16:00,64.6,0.0,0.0,0.30000001192092896,64.30000305175781,0,0,0,0
05-09 17:00,58.9,0.0,0.0,0.4000000059604645,58.599998474121094,0,0,0,0
05-09 18:00,40.4,0.0,0.0,0.30000001192092896,40.099998474121094,0,0,0,0
05-09 19:00,33.6,0.0,0.0,0.30000001192092896,33.29999923706055,0,0,0,0
05-09 20:00,23.5,0.0,0.0,0.30000001192092896,23.200000762939453,0,0,0,0
05-09 21:00,18.9,0.0,0.0,0.30000001192092896,18.600000381469727,0,0,0,0
05-09 22:00,11.5,0.0,0.0,0.20000000298023224,11.300000190734863,0,0,0,0
05-09 23:00,17.0,0.0,0.0,6.5,10.5,0,0,0,0
06-09 00:00,22.0,0.0,0.0,14.100000381469727,7.900000095367432,0,0,0,0
06-09 01:00,34.7,0.0,0.0,26.700000762939453,8.0,0,0,0,0
06-09 02:00,41.5,0.0,0.0,33.400001525878906,8.100000381469727,0,0,0,0
06-09 03:00,49.3,0.0,0.0,40.29999923706055,9.0,0,0,0,0
06-09 04:00,53.9,0.0,0.0,44.5,9.399999618530273,0,0,0,0
06-09 05:00,55.1,0.0,0.0,43.79999923706055,11.300000190734863,0,0,0,0
06-09 06:00,59.5,0.0,0.0,41.20000076293945,18.299999237060547,0,0,0,0
06-09 07:00,79.8,0.0,0.0,47.29999923706055,32.599998474121094,0,0,0,0
06-09 08:00,78.3,0.0,0.0,29.600000381469727,48.70000076293945,0,0,0,0
06-09 09:00,75.6,0.0,0.0,16.399999618530273,59.099998474121094,0,0,0,0
06-09 10:00,86.7,0.0,0.0,18.0,68.69999694824219,0,0,0,0
06-09 11:00,85.4,0.0,0.0,19.100000381469727,66.30000305175781,0,0,0,0
06-09 12:00,99.2,0.0,0.0,23.0,76.19999694824219,0,0,0,0
06-09 13:00,95.6,0.0,0.0,22.200000762939453,73.4000015258789,0,0,0,0
06-09 14:00,96.8,0.0,0.0,21.299999237060547,75.5,0,0,0,0
06-09 15:00,90.2,0.0,0.0,19.200000762939453,71.0,0,0,0,0
06-09 16:00,83.8,0.0,0.0,18.700000762939453,65.0999984741211,0,0,0,0
06-09 17:00,74.0,0.0,0.0,18.799999237060547,55.20000076293945,0,0,0,0
06-09 18:00,61.5,0.0,0.0,18.299999237060547,43.20000076293945,0,0,0,0
06-09 19:00,48.6,0.0,0.0,16.5,32.099998474121094,0,0,0,0
06-09 20:00,48.3,0.0,0.0,26.0,22.299999237060547,0,0,0,0
06-09 21:00,53.2,0.0,0.0,33.79999923706055,19.399999618530273,0,0,0,0
06-09 22:00,41.8,0.0,0.0,30.700000762939453,11.100000381469727,0,0,0,0
06-09 23:00,40.4,0.0,0.0,30.799999237060547,9.5,0,0,0,0
07-09 00:00,53.0,0.0,0.0,44.79999923706055,8.199999809265137,0,0,0,0
07-09 01:00,53.8,0.0,0.0,45.599998474121094,8.199999809265137,0,0,0,0
07-09 02:00,60.4,0.0,0.0,52.20000076293945,8.199999809265137,0,0,0,0
07-09 03:00,69.1,0.0,0.0,59.900001525878906,9.199999809265137,0,0,0,0
07-09 04:00,62.5,0.0,0.0,52.70000076293945,9.800000190734863,0,0,0,0
07-09 05:00,68.3,0.0,0.0,55.70000076293945,12.600000381469727,0,0,0,0
07-09 06:00,76.1,0.0,0.0,56.599998474121094,19.5,0,0,0,0
07-09 07:00,75.9,0.0,0.0,43.599998474121094,32.29999923706055,0,0,0,0
07-09 08:00,79.5,0.0,0.0,31.200000762939453,48.29999923706055,0,0,0,0
07-09 09:00,81.4,0.0,0.0,23.399999618530273,58.0,0,0,0,0
07-09 10:00,81.8,0.0,0.0,18.399999618530273,63.400001525878906,0,0,0,0
07-09 11:00,97.7,0.0,0.0,23.600000381469727,74.0999984741211,0,0,0,0
07-09 12:00,99.0,0.0,0.0,24.799999237060547,74.19999694824219,0,0,0,0
07-09 13:00,90.5,0.0,0.0,22.700000762939453,67.80000305175781,0,0,0,0
07-09 14:00,93.6,0.0,0.0,22.200000762939453,71.4000015258789,0,0,0,0
07-09 15:00,89.8,0.0,0.0,20.700000762939453,69.0999984741211,0,0,0,0
07-09 16:00,90.3,0.0,0.0,21.799999237060547,68.5,0,0,0,0
07-09 17:00,76.9,0.0,0.0,21.0,55.900001525878906,0,0,0,0
07-09 18:00,60.3,0.0,0.0,19.200000762939453,41.099998474121094,0,0,0,0
07-09 19:00,48.9,0.0,0.0,17.700000762939453,31.200000762939453,0,0,0,0
