npro_type,source_file,area_m2,annual_demand_filename_mwh,annual_demand_timeseries_mwh,annual_difference_percent,peak_filename_kw,peak_timeseries_kw,peak_difference_percent,dt_hours,profile_share_sum,output_file
Einzelhandel,Lastprofil_Waerme_Einzelhandel_63m2_59MWh_39kW.csv,63.0,59.0,58.50240000000001,-0.8433898305084597,39.0,39.1,0.25641025641026005,1.0,0.9999999999999998,/home/norman/Dokumente/Repos/KWPc_Gebaeudemodell/outputs/reference_profiles/Referenzprofil_Waerme_Einzelhandel.csv
Hotel,Lastprofil_Waerme_Hotel_225m2_27MWh_42kW.csv,225.0,27.0,26.057100000000002,-3.492222222222214,42.0,41.7,-0.7142857142857075,1.0,1.0,/home/norman/Dokumente/Repos/KWPc_Gebaeudemodell/outputs/reference_profiles/Referenzprofil_Waerme_Hotel.csv
